"id","associated_table_id:id","code","description","reference"
"catalog_sunat_6_DZN","6","DZN","DOCENA                                                ",
"catalog_sunat_6_DZP","6","DZP","DOCENA POR 10**6                                      ",
"catalog_sunat_6_BE","6","BE","FARDO                                                 ",
"catalog_sunat_6_GLI","6","GLI","GALON INGLES (4,545956L)",
"catalog_sunat_6_GRM","6","GRM","GRAMO                                                 ",
"catalog_sunat_6_GRO","6","GRO","GRUESA                                                ",
"catalog_sunat_6_HLT","6","HLT","HECTOLITRO                                            ",
"catalog_sunat_6_LEF","6","LEF","HOJA                                                  ",
"catalog_sunat_6_SET","6","SET","JUEGO                                                 ",
"catalog_sunat_6_KGM","6","KGM","KILOGRAMO                                             ",
"catalog_sunat_6_KTM","6","KTM","KILOMETRO                                             ",
"catalog_sunat_6_KWH","6","KWH","KILOVATIO HORA                                        ",
"catalog_sunat_6_KT","6","KT","KIT                                                   ",
"catalog_sunat_6_CA","6","CA","LATAS                                                 ",
"catalog_sunat_6_LBR","6","LBR","LIBRAS                                                ",
"catalog_sunat_6_LTR","6","LTR","LITRO                                                 ",
"catalog_sunat_6_MWH","6","MWH","MEGAWATT HORA                                         ",
"catalog_sunat_6_MTR","6","MTR","METRO                                                 ",
"catalog_sunat_6_MTK","6","MTK","METRO CUADRADO                                        ",
"catalog_sunat_6_MTQ","6","MTQ","METRO CUBICO                                          ",
"catalog_sunat_6_MGM","6","MGM","MILIGRAMOS                                            ",
"catalog_sunat_6_MLT","6","MLT","MILILITRO                                             ",
"catalog_sunat_6_MMT","6","MMT","MILIMETRO                                             ",
"catalog_sunat_6_MMK","6","MMK","MILIMETRO CUADRADO                                    ",
"catalog_sunat_6_MMQ","6","MMQ","MILIMETRO CUBICO                                      ",
"catalog_sunat_6_MLL","6","MLL","MILLARES                                              ",
"catalog_sunat_6_UM","6","UM","MILLON DE UNIDADES                                    ",
"catalog_sunat_6_ONZ","6","ONZ","ONZAS                                                 ",
"catalog_sunat_6_PF","6","PF","PALETAS                                               ",
"catalog_sunat_6_PK","6","PK","PAQUETE                                               ",
"catalog_sunat_6_PR","6","PR","PAR                                                   ",
"catalog_sunat_6_FOT","6","FOT","PIES                                                  ",
"catalog_sunat_6_FTK","6","FTK","PIES CUADRADOS                                        ",
"catalog_sunat_6_FTQ","6","FTQ","PIES CUBICOS                                          ",
"catalog_sunat_6_C62","6","C62","PIEZAS                                                ",
"catalog_sunat_6_PG","6","PG","PLACAS                                                ",
"catalog_sunat_6_ST","6","ST","PLIEGO                                                ",
"catalog_sunat_6_INH","6","INH","PULGADAS                                              ",
"catalog_sunat_6_RM","6","RM","RESMA                                                 ",
"catalog_sunat_6_DR","6","DR","TAMBOR                                                ",
"catalog_sunat_6_STN","6","STN","TONELADA CORTA                                        ",
"catalog_sunat_6_LTN","6","LTN","TONELADA LARGA                                        ",
"catalog_sunat_6_TNE","6","TNE","TONELADAS                                             ",
"catalog_sunat_6_TU","6","TU","TUBOS                                                 ",
"catalog_sunat_6_NIU","6","NIU","UNIDAD (BIENES)                                      ",
"catalog_sunat_6_ZZ","6","ZZ","UNIDAD (SERVICIOS) ",
"catalog_sunat_6_GLL","6","GLL","US GALON (3,7843 L)",
"catalog_sunat_6_YRD","6","YRD","YARDA                                                 ",
"catalog_sunat_6_YDK","6","YDK","YARDA CUADRADA                                        ",
"catalog_sunat_7_00","7","00","Otros",
"catalog_sunat_7_01","7","01","Factura",
"catalog_sunat_7_02","7","02","Recibo por Honorarios",
"catalog_sunat_7_03","7","03","Boleta de Venta",
"catalog_sunat_7_04","7","04","Liquidación de compra",
"catalog_sunat_7_05","7","05","Boletos de Transporte Aéreo que emiten las Compañías de Aviación Comercial por el servicio de transporte aéreo regular de pasajeros, emitido de manera manual, mecanizada o por medios electrónicos (BME)",
"catalog_sunat_7_06","7","06","Carta de porte aéreo por el servicio de transporte de carga aérea",
"catalog_sunat_7_07","7","07","Nota de crédito",
"catalog_sunat_7_08","7","08","Nota de débito",
"catalog_sunat_7_09","7","09","Guía de remisión - Remitente",
"catalog_sunat_7_10","7","10","Recibo por Arrendamiento",
"catalog_sunat_7_11","7","11","Póliza emitida por las Bolsas de Valores, Bolsas de Productos o Agentes de Intermediación por operaciones realizadas en las Bolsas de Valores o Productos o fuera de las mismas, autorizadas por SMV",
"catalog_sunat_7_12","7","12","Ticket o cinta emitido por máquina registradora",
"catalog_sunat_7_13","7","13","Documentos emitidos por las empresas del sistema financiero y de seguros, y por las cooperativas de ahorro y crédito no autorizadas a captar recursos del público, que se encuentren bajo el control de la Superintendencia de Banca, Seguros y AFP.",
"catalog_sunat_7_14","7","14","Recibo por servicios públicos de suministro de energía eléctrica, agua, teléfono, telex y telegráficos y otros servicios complementarios que se incluyan en el recibo de servicio público",
"catalog_sunat_7_15","7","15","Boletos emitidos por el servicio de transporte terrestre regular urbano de pasajeros y el ferroviario público de pasajeros prestado en vía férrea local.",
"catalog_sunat_7_16","7","16","Boletos de viaje emitidos por las empresas de transporte nacional de pasajeros, siempre que cuenten con la autorización de la autoridad competente, en las rutas autorizadas. Vía terrestre o ferroviario público no emitido por medios electrónicos (BVME)",
"catalog_sunat_7_17","7","17","Documento emitido por la Iglesia Católica por el arrendamiento de bienes inmuebles",
"catalog_sunat_7_18","7","18","Documento emitido por las Administradoras Privadas de Fondo de Pensiones que se encuentran bajo la supervisión de la Superintendencia de Banca, Seguros y AFP",
"catalog_sunat_7_19","7","19","Boleto o entrada por atracciones y espectáculos públicos",
"catalog_sunat_7_20","7","20","Comprobante de Retención",
"catalog_sunat_7_21","7","21","Conocimiento de embarque por el servicio de transporte de carga marítima",
"catalog_sunat_7_22","7","22","Comprobante por Operaciones No Habituales",
"catalog_sunat_7_23","7","23","Pólizas de Adjudicación emitidas con ocasión del remate o adjudicación de bienes por venta forzada, por los martilleros o las entidades que rematen o subasten bienes por cuenta de terceros",
